query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugzq_KlLgzfWoJOqLdh4AaABAg,2 months ago,7,1,Porsche 911� the absolute best sports car!,@ibeunstoppable,https://yt3.ggpht.com/ytc/AIdro_ls5mFlMfBmHhSa7aZdR3YhNCLZJzRISQuzTaVHwtD3PA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC1n4V6MsUu5DyqOSgoAty7g,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgwKyCgpsoZajGknikB4AaABAg,5 months ago,15,2,"?? Featured: 
0:42 Engine assembly
7:39 body shop
11:54 paint shop
18:06 saddlery
26:51 dashboard install
29:14 installation of the windshield and panoramic roof
30:09 installation of headlights
30:48 drivetrain
32:41 wedding drivetrain to body
33:43 final assembly
36:20 quality check
37:00 Zuffenhausen facility",@CarsBOOM,https://yt3.ggpht.com/YrVg45XDyNfqCPbav0rc3vmUsmvtobYxZGbfO_G4e-jMztZgO07_Q3fG7ZMAqp-3UOs4E7Xrow=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC0flZJIclTtCfTS3G7aAVRw,TRUE,TRUE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugw3UfOdOiI6yiVb98t4AaABAg,2 months ago,1,,I�m buying one: I like the quality and performance!,@constitutionalist1528,https://yt3.ggpht.com/ytc/AIdro_njv5bj96nXZPdVSGWFsAya7ecRhM4u_78FX5cOyq1Aefxs0LYhy-CVDYRCpSNnYeaQwA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCIYD94tn-b3gD-eKMoVUYKA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgytmcGIWonnrHtJZhh4AaABAg,4 months ago,7,1,I got choked up watching this - where's my tissue?,@jlwutk70,https://yt3.ggpht.com/ytc/AIdro_nbnIwyYsF5KGzS2pWd-Bbv2zgtWKXIXYtKtnh9Q669BzQAGM9gxLELfbqgp3aEheu7BQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCgP5pUUWxWLT21MmZgcLBIw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgwkAOluIb1T9H7rE914AaABAg,11 days ago,1,,"very satisfying video tour, I liked it so much :goodvibes:",@milan1991feb,https://yt3.ggpht.com/zt8DfTN7w1cqsT9Do94X_WZY2ozSutht7aCI20Krww35IB6JxseURNapfwM-elclKMuJunxSxg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCSUeashHPP6uKJs5f13oXGQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugz16d7SRJkKRU5BBsh4AaABAg,1 month ago,2,,911 turbo S is my dream car. I will take the Porsche any time over McLaren and other cars.,@mysteriousu5528,https://yt3.ggpht.com/ytc/AIdro_mU3SzQmieXA-q-j3lBLlRUDTnbErXA8E0X_ZyHR0U=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC3pTEf4jk72946VAroQCOLA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgwP9nol4lB42y1COHZ4AaABAg,2 months ago,1,,If I could it has always been the one I would.,@steadfastandyx4947,https://yt3.ggpht.com/ytc/AIdro_mU7fiNJmTtUAz52iUDL7-QLJdJp7wje1tZRhDgXkwsag=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCXa-pjH83FACinubDHBp_vg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugwc_0RB9l3w4xy0xTt4AaABAg,2 months ago,2,,"Amazing, I never understood the excellence of the Porsche 911, now I do!",@bobing6861,https://yt3.ggpht.com/ytc/AIdro_nmB3fh2ZUrbUo4h9JBQREdUON_kRGY73s44ues5-E=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCOC385AWx4pMUZHE-C7uvMg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgwvTNThmbXjV-5mx-R4AaABAg,4 months ago,11,,17:25 How do I become a professional 911 petter ?,@ulyssehahang5181,https://yt3.ggpht.com/toR8QxmOuK-R_eq40X2qyaNsWbEq94m1SchAnJB0EWAsOy6BnkRsiRJIBALAORB2hPua61XtVPI=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCt2L5gbTUdQKgpNCnng7xag,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgzI9z8h_YoH-v2gk2t4AaABAg,1 month ago,1,,I can do this all day!,@WupaLupa-1,https://yt3.ggpht.com/ytc/AIdro_mfP_r2fZSmbauvEQC0kdW_K2GMw9jmMWOvxBPG1f4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCOIAsBUtOwAlrBuju_Wm8iQ,FALSE,FALSE,FALSE
